,Content ID,Reaction Type,Datetime,content Type,Category,Sentiment,Score
18,a2e93b29-9259-4092-a4d7-62d5e823bb74,indifferent,24-02-2021 11:37,video,public speaking,neutral,20
19,9b3a6d30-48e8-476c-82be-9031524bd04d,interested,22-05-2021 19:44,video,food,positive,30
20,850fe90d-47d6-4eb7-b9c8-810afcb99ce9,intrigued,31-01-2021 16:03,video,tennis,positive,45
21,baa2db00-81ba-4c34-b17d-dd950bfa133b,peeking,20-11-2020 17:26,GIF,soccer,neutral,35
22,f98dde71-ce1d-4f6c-bb05-ae05779d2207,worried,11-04-2021 20:47,GIF,soccer,negative,12
23,388bd9db-9d10-4f47-87c4-6db46e83bc95,like,13-06-2021 16:46,video,education,positive,50
24,78d0075f-895c-4a15-a35c-a921e2bb2cea,heart,11-04-2021 14:29,photo,studying,positive,60
25,bda0b065-7f8b-4d52-b7e9-fcc375cdab08,worried,02-03-2021 19:21,photo,travel,negative,12
26,a4067fb5-3ba8-4f97-87c2-ddad5e4029c2,hate,27-06-2020 18:44,GIF,food,negative,5
27,809b41e3-7a6f-4d80-84bf-f8d7b0e2d0e1,hate,09-05-2021 21:05,audio,dogs,negative,5
28,34a3747a-0b77-42f6-ae19-87c38b94b674,cherish,04-08-2020 23:58,GIF,science,positive,70
29,2920dccb-e06f-49fc-8049-b6d4164dfe84,super love,28-08-2020 03:57,GIF,veganism,positive,75
30,f4e3840e-bb71-40c2-afc5-9408d842646d,intrigued,25-08-2020 08:21,photo,healthy eating,positive,45
31,a2ff9bf2-1fa6-4001-9566-f597f8e754ef,scared,20-04-2021 23:48,video,food,negative,15
32,74718bbf-e5a3-442f-8ca2-4a3428757fc1,interested,07-03-2021 12:40,video,dogs,positive,30
33,89fd8f89-807f-4076-b7e7-84db361e11c1,indifferent,24-05-2021 03:21,audio,studying,neutral,20
34,02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,super love,24-01-2021 11:03,video,cooking,positive,75
35,eec5e521-4c28-4e8a-93a9-d544803fad7e,disgust,09-04-2021 02:46,audio,food,negative,0
36,07f88a73-aef2-45fd-8b5d-418e448b853d,super love,02-02-2021 03:43,GIF,Animals,positive,75
37,49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,interested,04-02-2021 03:06,photo,technology,positive,30
38,457301ee-3e87-40d8-8b82-ea4e1fa90e39,dislike,09-11-2020 02:49,GIF,healthy eating,negative,10
39,4fa14453-7b29-4302-b51f-9aa23b472c1b,scared,29-09-2020 16:00,audio,animals,negative,15
40,16757b80-2803-4464-b5d7-e372d8d77337,dislike,29-11-2020 21:33,GIF,technology,negative,10
41,ab4c4756-1c50-4136-bad9-3216e01ffac2,want,13-02-2021 07:54,audio,fitness,positive,70
42,4478d98e-43e8-4dc0-884d-c1115aa8b970,interested,14-07-2020 05:28,audio,animals,positive,30
43,34f73132-fff6-4f01-a5ec-4b4b66461fc7,indifferent,23-08-2020 10:30,photo,fitness,neutral,20
44,bfa4e11c-9d72-49b9-bd43-49d95c2e5181,worried,10-05-2021 09:27,photo,veganism,negative,12
45,220d9dc1-f8a5-422d-b200-3819f3b89b2b,hate,15-03-2021 03:59,video,dogs,negative,5
47,ea1afba2-c0a8-4d0f-ac64-91fd7a126bbc,dislike,25-06-2020 17:01,GIF,healthy eating,negative,10
48,18b4da8a-5f22-4dbe-b2af-c9013581cdd9,intrigued,13-09-2020 00:11,GIF,studying,positive,45
49,259cd56f-b017-4a41-81a7-f26ce9b35092,peeking,20-08-2020 18:17,video,culture,neutral,35
50,14ed7f7b-2c96-4458-8a39-606c25c14180,scared,11-02-2021 04:53,video,tennis,negative,15
51,c01fa154-5348-4040-9d20-0bbf01f6349b,hate,08-03-2021 10:40,GIF,tennis,negative,5
52,2d949603-6676-4402-900b-2c2c78315ea0,disgust,28-03-2021 21:15,audio,culture,negative,0
53,50c9237a-541c-4f10-a2be-7cbe076b2012,hate,25-05-2021 01:00,GIF,travel,negative,5
54,5ecd7f9d-4184-4836-b1c5-f03e131ba0a7,like,15-03-2021 12:17,video,science,positive,50
55,e442899c-d2d6-4392-be2d-a0b916ae47fb,love,05-05-2021 16:26,video,technology,positive,65
56,daab7b1a-fc8d-473e-bbf3-b29f4185ae56,love,31-08-2020 00:21,video,science,positive,65
57,82145a60-013e-4d96-81a5-399af8618158,heart,16-06-2021 03:02,audio,food,positive,60
58,d852b946-01e1-44fe-abd7-26198660cbdb,indifferent,07-07-2020 10:52,GIF,food,neutral,20
59,9dd95c34-8b39-4776-a232-412512329c3f,peeking,20-08-2020 07:59,audio,fitness,neutral,35
60,c59e27e9-0439-4699-8ea0-5e93f662a05d,love,23-09-2020 11:15,GIF,fitness,positive,65
61,78713905-362f-4a87-9671-adab5f1e0e67,like,24-03-2021 05:56,audio,dogs,positive,50
63,87349e5b-eda4-4ae6-94d7-c42b9c5f03e9,hate,07-12-2020 19:13,GIF,healthy eating,negative,5
64,5fbbdd47-e1ca-4cd4-bb24-dd0eb03f99b0,super love,03-08-2020 16:41,video,culture,positive,75
65,ac1c59df-2803-4cf4-8ec0-fe6bd1f9ea44,adore,10-01-2021 15:36,GIF,soccer,positive,72
66,026973ef-4b73-4901-9160-bc9e04516057,scared,20-09-2020 08:48,audio,culture,negative,15
67,f08bdab2-b888-484e-8fd9-919e6ed86c12,cherish,20-07-2020 14:06,audio,education,positive,70
68,a55b215b-06c5-4ef3-ac14-7e1569c3ad2e,adore,24-10-2020 12:15,GIF,education,positive,72
69,258bb775-3c35-4eec-90f3-8b75a52e466a,interested,06-06-2021 01:27,photo,education,positive,30
70,8d32243c-2dd1-4128-bde1-d643207e582c,heart,25-12-2020 00:09,photo,studying,positive,60
71,e2c433d2-096e-484e-8c69-28f0bb69f3b7,like,14-06-2021 07:56,audio,science,positive,50
72,3d8fffab-6107-4d7b-9485-c610e233c91c,like,05-06-2021 18:00,photo,studying,positive,50
73,409aa11d-5af3-4a70-9da1-482857f5835e,hate,18-11-2020 23:37,GIF,Fitness,negative,5
74,aa9ea032-0fea-42c3-88d9-666685d4b32b,interested,09-05-2021 02:42,GIF,veganism,positive,30
75,eaddee3e-3a23-47cd-9785-ab7f2120a293,dislike,11-05-2021 08:38,video,science,negative,10
76,9ef39aa2-60f9-4e4b-b666-c6cb97015503,peeking,12-11-2020 08:00,GIF,travel,neutral,35
77,841403fd-321b-4118-90b3-cc0075d64047,heart,21-06-2020 16:57,GIF,studying,positive,60
78,3724de8a-ec2f-4021-a3f1-605d551da9d0,super love,04-03-2021 23:58,video,culture,positive,75
79,2d0926be-9a29-4e6c-b342-815c70172214,want,09-07-2020 16:47,GIF,animals,positive,70
80,dcaa5091-1246-4d3c-aed8-dcd8e1da69cc,hate,01-08-2020 19:16,photo,science,negative,5
81,0491183b-be25-4108-b667-8c30d3cdbf50,dislike,23-11-2020 22:46,audio,veganism,negative,10
82,359b93ea-446f-4202-8801-db238de5de4d,scared,11-12-2020 14:08,photo,food,negative,15
83,0adb9a94-210a-4e84-bca1-13db9452ff0e,dislike,23-04-2021 23:41,video,healthy eating,negative,10
84,3c510b35-43e2-4e84-a805-86c5ebddc4cf,want,13-11-2020 00:33,audio,studying,positive,70
85,86346263-02db-4020-a216-9e54f502f643,interested,09-06-2021 10:13,GIF,travel,positive,30
86,3dfdcf9c-aaa4-41ea-9a7c-b3ba09103467,love,29-10-2020 19:41,GIF,fitness,positive,65
87,3529c44b-d0f4-4bd2-b6eb-be97d2f7623f,heart,14-05-2021 12:47,photo,studying,positive,60
88,45dbce0a-dbd8-4c4d-a492-4f5b84850d5c,disgust,04-08-2020 05:40,video,dogs,negative,0
89,c4f59a1e-3198-4968-b062-9e9fcc41403f,adore,07-08-2020 04:09,GIF,veganism,positive,72
90,9d94f180-947c-40f5-aa05-f1958759b7fc,adore,23-10-2020 21:19,video,science,positive,72
91,6ef45d36-cd14-428c-b5cf-ad2f06371c6e,adore,14-11-2020 23:53,GIF,cooking,positive,72
92,497da46d-d5d5-45b0-827a-f2b75d7bf4c2,worried,04-08-2020 19:26,photo,culture,negative,12
93,da527dd0-4b7d-40a2-9fc6-89ef7c91fd87,interested,12-11-2020 04:54,GIF,culture,positive,30
95,fada6910-2cc5-4600-808c-1e6066f795a6,worried,03-04-2021 12:17,GIF,technology,negative,12
96,be85274a-28f1-4c6d-9ea1-7b20d1e0c66f,want,27-09-2020 22:15,photo,culture,positive,70
97,b1ba68bc-fa4c-4a36-98a1-4d4a381ef873,heart,27-10-2020 05:45,video,animals,positive,60
98,1de2f0f9-61ab-43fb-9180-6870824c63c0,scared,15-10-2020 09:11,GIF,science,negative,15
99,e18e10e9-ed2a-494b-b215-edce890b1df4,heart,07-05-2021 09:16,photo,food,positive,60
100,c2d6e707-f00e-4fa4-a193-eb36272f58df,hate,16-09-2020 08:39,GIF,veganism,negative,5
101,af7971aa-5fd5-41d3-b6c3-583704a705a2,indifferent,29-10-2020 15:38,video,healthy eating,neutral,20
103,6d6cf6a3-4187-44ec-af28-91c99b584bcf,scared,24-05-2021 18:03,video,veganism,negative,15
105,5d8dbd6f-cc78-4f7a-a65c-cd9dde481dd0,interested,25-02-2021 20:02,video,healthy eating,positive,30
106,c8b044a9-8427-4b41-bc61-7b549ab1626c,hate,02-05-2021 03:45,photo,studying,negative,5
107,cd568dd1-70cf-45d6-b495-10eebff8c920,want,28-01-2021 08:49,photo,dogs,positive,70
108,72822fb8-8a40-4cf1-a86a-42140b3bf9f3,peeking,15-02-2021 13:06,photo,travel,neutral,35
109,ef99fd68-74fb-4c72-bc70-742ebca14499,dislike,04-11-2020 21:25,video,soccer,negative,10
110,d147ab3c-4097-4eec-b4dc-480e4ece801b,love,23-06-2020 22:12,audio,culture,positive,65
111,62681a6c-fe82-4186-ba7d-0805ae5b95ed,cherish,16-02-2021 04:01,audio,Veganism,positive,70
112,ec8e2d25-5730-4753-a0a2-d1ed41e23623,interested,03-01-2021 08:44,video,healthy eating,positive,30
113,67f2a150-6086-4cbd-8d21-46250ccef5a2,adore,25-11-2020 12:45,GIF,cooking,positive,72
114,65545cfb-59bb-4dc1-a38b-82f268210da2,like,03-12-2020 16:47,audio,technology,positive,50
115,433607b3-eeb4-48b8-9263-9805c1b89d55,like,22-05-2021 21:03,video,education,positive,50
116,0f1fce4d-78a3-4e0e-8a7b-ebd5f97c305e,cherish,18-01-2021 13:39,photo,dogs,positive,70
117,1000371f-7758-4c44-a1bc-41fd836b0bcb,indifferent,06-01-2021 00:35,audio,studying,neutral,20
118,5a5bf39d-1bfd-43f9-b304-ea8fbaaa3528,adore,14-05-2021 14:33,video,studying,positive,72
119,8e3896e3-2f84-4b47-9365-fb562c9ed730,worried,27-05-2021 15:21,video,public speaking,negative,12
120,de9796a6-d19d-4c41-a965-7aa4dcc69fee,peeking,21-07-2020 02:12,audio,technology,neutral,35
121,e4466189-0b96-4cc4-9d7d-d0f27b982548,dislike,26-05-2021 06:09,GIF,education,negative,10
122,391a9aa4-c04a-431e-8366-712d92267c2b,dislike,25-02-2021 03:16,video,public speaking,negative,10
123,e8edf506-36c9-43a7-a685-8b9f6467e4f9,intrigued,07-12-2020 22:50,video,studying,positive,45
124,36d36f19-7a10-4d7d-a3ab-a3f2cbbfcf4a,indifferent,24-10-2020 14:06,photo,food,neutral,20
125,c7066a17-2e12-49d2-bb9e-c8967051f490,peeking,01-09-2020 21:18,GIF,public speaking,neutral,35
126,f01ec49c-3179-43bb-b127-2b1a73f34b06,adore,10-05-2021 22:07,photo,animals,positive,72
128,c6cbd704-9d4a-4ace-b61e-e5df74ee83af,cherish,12-02-2021 16:37,photo,education,positive,70
129,eb6fc324-f85b-4bfb-b712-0a3eceb0b9d7,heart,28-04-2021 15:22,GIF,soccer,positive,60
130,b6c24086-becf-4615-801e-c3c298a8d4e2,intrigued,24-01-2021 00:38,photo,travel,positive,45
131,1beeffff-f261-435f-a109-6fafe46669d4,worried,18-03-2021 01:53,photo,public speaking,negative,12
132,61e6650c-5068-4575-9aee-4217ef3dbdb1,disgust,14-01-2021 07:21,GIF,tennis,negative,0
133,3a7f83a0-b9f9-44c1-a15d-656c4095e732,heart,23-12-2020 04:11,GIF,soccer,positive,60
134,2b6921de-e7f2-4e30-8feb-36bd41becaf0,hate,21-05-2021 07:23,audio,travel,negative,5
135,6efd3911-1705-49dc-aa7b-994ce83a7387,like,28-03-2021 23:25,photo,fitness,positive,50
136,b56a9e24-d0f2-4599-b893-c2889a15e1d6,peeking,16-09-2020 07:33,video,veganism,neutral,35
137,d706b190-216c-4103-9107-fb7304766d68,indifferent,08-11-2020 10:53,video,cooking,neutral,20
138,61b45c79-c23b-4bbd-a4fe-0bb3611486c7,heart,06-03-2021 05:23,audio,tennis,positive,60
139,2c511a63-5eb5-422f-8483-c9fcf9a29b55,disgust,13-01-2021 23:35,GIF,technology,negative,0
140,edc4a60a-b5ba-4178-b99e-9d34ed92599c,want,06-09-2020 22:35,audio,technology,positive,70
141,2cbbdbf6-b34e-4fbb-bdc6-904e61f91ce7,interested,24-06-2020 09:31,photo,animals,positive,30
142,e51b00b8-49d4-4909-9f25-8e9a06e28728,hate,07-02-2021 21:39,video,soccer,negative,5
143,509a5fb0-9bb2-4809-9f90-18ae007acc94,intrigued,21-01-2021 18:28,video,dogs,positive,45
144,f1038e6c-5292-4e20-a866-675e1637d6b5,dislike,27-02-2021 00:21,GIF,soccer,negative,10
145,08cc29f3-a22d-4652-8f27-ff9e0a826289,worried,22-08-2020 12:06,photo,technology,negative,12
146,a784c1dd-e2ab-408d-a0c3-226a51d420e1,cherish,03-08-2020 06:29,audio,technology,positive,70
147,3a106d1f-3942-49d4-9358-417f33d760c6,scared,02-08-2020 06:20,photo,Fitness,negative,15
148,1830df30-c239-4287-8d63-fadcb8ced884,want,04-06-2021 04:57,video,veganism,positive,70
149,5bb364a6-8646-4cdb-b1cf-09f4125718d8,super love,21-10-2020 09:07,audio,soccer,positive,75
150,dd2f8912-9b97-40cb-ac5f-215f98d4d733,dislike,26-12-2020 19:46,GIF,fitness,negative,10
151,de95cdb1-a85a-40de-8467-892e2d1481af,scared,02-03-2021 22:47,video,education,negative,15
152,e5f1a4c6-2b27-4c8b-ac9a-21bb6ef7c946,indifferent,31-03-2021 09:48,audio,soccer,neutral,20
153,6199f5ca-cc02-410d-a408-e034946de162,interested,14-06-2021 13:44,video,animals,positive,30
154,9fd8c6fc-1c8f-4a1d-86ec-cd1c71e044e1,scared,27-12-2020 17:04,video,public speaking,negative,15
155,8490c29c-177f-4c21-9d37-d509f9287f30,scared,11-02-2021 03:51,GIF,tennis,negative,15
156,bf8e2e7a-7a90-47f8-8dd6-01f8c6aa32ed,interested,07-12-2020 19:07,video,science,positive,30
157,5651450a-d330-46e6-bac9-c7c7e7defaf2,interested,28-12-2020 08:31,photo,animals,positive,30
158,7c2e209e-acea-4246-a32d-636e2f2cc2c1,interested,26-10-2020 05:27,video,dogs,positive,30
159,a72552ac-cad2-4707-8bc6-dea84a5ab72b,worried,26-09-2020 18:43,audio,studying,negative,12
160,1bbdebad-2218-46fd-8afc-ddd9b4d56d97,scared,25-11-2020 13:01,photo,veganism,negative,15
161,2eb7feec-26a4-4949-8470-3e66c16536e9,heart,11-07-2020 05:51,video,tennis,positive,60
162,0d3d0a35-f806-4536-8733-abf1f92763e2,heart,19-03-2021 16:23,GIF,studying,positive,60
163,f783f128-6f66-4ef3-a190-5afc29d17012,interested,11-10-2020 18:31,GIF,tennis,positive,30
164,7bb8c7ec-8d65-43e8-a9fb-ac01936b18cc,heart,02-11-2020 20:15,video,cooking,positive,60
165,6e418568-a2b9-4d08-b241-06362c96a7f1,want,01-10-2020 03:35,video,food,positive,70
166,93c0f4f6-8c1e-453e-8df0-3015b1e76376,disgust,11-02-2021 20:10,video,technology,negative,0
167,2893a837-3157-4bbd-918f-adc93b60480a,want,07-02-2021 15:59,photo,healthy eating,positive,70
168,34123572-64b7-4f3d-b098-a2651d882fb2,hate,17-10-2020 11:46,video,dogs,negative,5
169,811834bf-44bf-47f3-ae30-e305591177d6,like,09-08-2020 19:41,GIF,animals,positive,50
170,c6f6e0f3-9fae-4bf9-abb3-cd7248a51061,love,01-02-2021 02:40,audio,culture,positive,65
171,8f3cce80-d539-4f83-84f6-901e524c088e,adore,30-01-2021 09:36,video,travel,positive,72
173,27fffa3e-000d-4f29-9358-5b0d2280d18c,want,31-03-2021 15:24,video,dogs,positive,70
174,3c092e34-bac9-4e63-a7fa-0608fb73914f,super love,05-02-2021 17:00,video,soccer,positive,75
175,413101f7-ea05-4df6-97cf-9891245c5ed7,heart,19-02-2021 16:29,photo,science,positive,60
176,6be333ca-7797-41a5-9a2d-e198037d30ed,worried,25-07-2020 00:00,audio,food,negative,12
178,c136ae25-d882-4e2c-b515-5727ad2626a5,adore,13-07-2020 02:38,photo,soccer,positive,72
179,bd810ca4-54cf-420e-afec-0214b870672e,indifferent,13-01-2021 13:11,photo,technology,neutral,20
180,ba9ce407-672c-4ceb-9c1f-59590fd187d0,worried,02-01-2021 16:46,audio,fitness,negative,12
181,fa781e01-b928-401f-86f4-d42b0a3b55ab,intrigued,26-11-2020 02:25,photo,studying,positive,45
182,43e53b12-71cb-4aad-9cb7-8c3572053230,want,25-08-2020 19:18,audio,fitness,positive,70
183,a58c963f-1bec-4eee-b66f-60062a9dd96e,hate,01-02-2021 00:15,video,dogs,negative,5
184,2c0e1f1e-1af8-45b6-b8f2-9714358dd2ad,love,04-06-2021 14:36,audio,Travel,positive,65
185,748ab616-8066-4c61-b6af-d7442545d12a,adore,19-08-2020 13:38,audio,veganism,positive,72
186,e0fe9c2b-0e5f-46b3-bb4a-f68bf569e867,cherish,22-04-2021 02:08,video,science,positive,70
187,734c0b94-6729-44ef-af97-90a3a51a466c,super love,26-06-2020 10:33,video,travel,positive,75
188,43da458b-66fe-4723-996c-57dcfad67edf,like,15-08-2020 18:16,GIF,food,positive,50
189,3d02ae44-c8f2-4d2d-a64c-9355a4f46430,love,26-11-2020 13:42,GIF,fitness,positive,65
191,7dc268e5-b50d-4280-82aa-e08af75a8a0a,want,14-04-2021 00:56,photo,science,positive,70
192,d0e55134-c60e-4a05-999c-d7697b4901f0,indifferent,21-07-2020 21:27,GIF,cooking,neutral,20
193,ebdf5d36-9ecc-44d7-b641-d33805709452,dislike,29-03-2021 06:57,audio,cooking,negative,10
194,1429467d-e8a2-4292-bd46-921e8bd87b30,want,20-05-2021 16:11,video,public speaking,positive,70
195,f0d1b3ed-f1dd-4a09-b17a-b0f241932fbb,like,02-11-2020 06:09,audio,studying,positive,50
196,7d459555-a816-4d20-893c-a002e0a74ce3,indifferent,24-10-2020 15:37,audio,healthy eating,neutral,20
197,e6b61eab-6879-4618-b189-476f27f02fdd,heart,07-09-2020 14:42,audio,science,positive,60
198,d16d21cd-30c7-4b1e-b50c-aff5808fe816,scared,04-03-2021 02:46,photo,fitness,negative,15
199,27ec2b21-a749-4181-b182-150a174fc277,adore,07-01-2021 14:08,GIF,animals,positive,72
200,8bcb980c-6f36-484d-974f-30b3e8fcc251,peeking,06-07-2020 11:18,photo,travel,neutral,35
201,bac28166-5b8d-4f5d-88da-8c8f9a1c3f5b,like,27-03-2021 04:56,video,food,positive,50
202,1f466010-5c87-4b81-be83-5856481231fb,intrigued,21-11-2020 21:25,GIF,soccer,positive,45
203,496645a7-64f7-4c56-94f5-a71671cb262e,cherish,22-08-2020 01:25,GIF,dogs,positive,70
204,d6d4ec49-4210-44de-9f90-c93dfbeed084,peeking,14-06-2021 11:45,video,tennis,neutral,35
205,229d5bad-c1e4-439c-8978-0efdcdfea4d1,worried,15-07-2020 19:28,audio,food,negative,12
206,80d4bec9-6441-41a2-be74-0eec3e5317ef,intrigued,21-03-2021 14:39,video,tennis,positive,45
207,457d54ed-e0bf-4574-80e3-561c1bbc4d3e,super love,07-04-2021 03:15,GIF,science,positive,75
208,57a8bb62-a264-42d4-a1b0-6e4c0f859a5e,cherish,24-04-2021 06:56,audio,cooking,positive,70
209,ff883828-a610-492d-8635-8a777eaad25f,heart,30-09-2020 14:05,photo,education,positive,60
210,48a824bf-e495-4333-8acf-c800947ec2cd,heart,19-07-2020 19:28,audio,soccer,positive,60
211,2019333d-2b9c-4a22-904c-d1f1aa9c68bb,scared,21-01-2021 07:08,GIF,food,negative,15
212,88d65e30-7ca0-4f32-a020-45c4cb3d9632,scared,31-01-2021 13:48,audio,travel,negative,15
213,05776481-7b58-46d8-abf6-bf4de7831287,hate,24-12-2020 03:24,audio,travel,negative,5
214,323c35ed-081f-4efd-8bd6-ce5208ceb0ed,disgust,27-05-2021 01:44,GIF,animals,negative,0
215,8b51c05c-a8a2-4a6c-b031-165fb7bac840,disgust,13-02-2021 04:14,video,dogs,negative,0
216,58059956-4cde-4671-9baf-904851731540,adore,14-07-2020 04:36,audio,education,positive,72
217,a429d355-8983-40a4-aa2b-c3f47acd5499,dislike,15-07-2020 16:03,photo,veganism,negative,10
218,db3e5630-f959-4ce1-a12b-02efa655780e,like,08-10-2020 17:23,video,animals,positive,50
219,c9ab41d2-5728-4d94-b16a-1e9b7af9b21d,heart,12-11-2020 23:55,GIF,veganism,positive,60
220,429632b9-88c0-4163-a7ed-4272a04f7838,want,21-02-2021 05:01,audio,Animals,positive,70
221,281054fd-2b89-4191-92ae-98e1bc0ed51b,intrigued,09-07-2020 08:58,video,fitness,positive,45
222,ebdf9868-075e-4fca-a3de-ef7b2cd8f7a1,adore,26-06-2020 23:45,GIF,education,positive,72
223,8ef185a2-8910-41f5-a109-95c925ebffa0,worried,20-11-2020 13:18,photo,public speaking,negative,12
224,839d117b-c764-4930-99f2-a6e4d1b47790,like,29-05-2021 21:34,GIF,cooking,positive,50
225,db672f6f-2f5b-47bd-aed6-bfc22188de4d,indifferent,22-02-2021 02:48,audio,soccer,neutral,20
226,037189e3-18c0-4f6c-a8cc-d6b86d679891,scared,07-01-2021 18:39,GIF,food,negative,15
227,709b527b-d26f-48f2-91f8-3cdd9702e564,adore,01-10-2020 15:10,video,tennis,positive,72
228,909cbb46-9789-4e9d-9148-890e5c44a9e2,hate,21-11-2020 08:24,audio,animals,negative,5
229,ceba816b-72ea-4682-8795-8569a46bb1d6,scared,15-04-2021 13:50,video,dogs,negative,15
230,1987b43d-bcb9-4ab0-8634-ef3623928e94,love,30-06-2020 01:14,photo,education,positive,65
231,1a69604e-95a0-4b91-8051-f3730b7e009b,want,01-12-2020 15:06,video,fitness,positive,70
232,3e64dfe3-e832-4352-a170-9806f64ac507,scared,07-11-2020 00:47,audio,healthy eating,negative,15
234,30c8a141-2c2e-4272-8854-ff5673509652,super love,30-06-2020 13:08,audio,culture,positive,75
235,92855e17-5173-4481-a3d2-b9374263f597,heart,04-08-2020 03:09,GIF,fitness,positive,60
236,ad08dde0-ec5d-41ef-baed-10c6d66028aa,intrigued,28-07-2020 07:01,GIF,technology,positive,45
237,d029d393-b80b-4a56-9450-7645ee42da07,super love,25-10-2020 02:39,video,healthy eating,positive,75
238,4ce7258e-3777-42b4-af6a-dd8898c42cfd,worried,05-07-2020 03:37,photo,travel,negative,12
239,75747dd7-8dad-4f2f-9209-62765223f3af,cherish,28-04-2021 15:16,photo,fitness,positive,70
240,b47f0569-8d01-4ac4-a4ed-0fcc94cb96fc,indifferent,31-01-2021 00:54,audio,studying,neutral,20
241,b1c49557-0623-4fb2-8f22-1453286fedad,adore,29-08-2020 11:37,video,healthy eating,positive,72
242,96209724-37a8-475b-b80a-03e96a7c33b1,intrigued,15-10-2020 12:09,GIF,fitness,positive,45
243,bb9dcde7-55bb-4fb8-b349-caa58fb08823,love,02-08-2020 21:20,GIF,healthy eating,positive,65
244,a0606e08-1798-44f5-a575-28e82f79dfe3,scared,31-10-2020 21:46,video,veganism,negative,15
245,b7a5e38b-b990-4b8e-aaac-6cc9ee77f3d9,heart,12-10-2020 09:40,video,cooking,positive,60
246,3dc03a86-f481-42fa-bf43-a7bcf3b6572e,want,12-12-2020 12:22,audio,fitness,positive,70
247,baf5959e-204c-4acc-838c-87617e79f448,like,09-01-2021 16:37,GIF,fitness,positive,50
248,18a07663-ba3c-4ff9-94d3-bd533aa853c2,hate,23-08-2020 04:39,audio,veganism,negative,5
249,dc78a872-9057-4a8e-9a25-a1c407c1b7c9,love,22-12-2020 04:20,audio,culture,positive,65
250,a3d563e1-c7a6-4367-9195-cddc36863735,disgust,07-11-2020 08:49,audio,healthy eating,negative,0
251,350e0d40-e036-459c-9cbe-73e003c33cfa,adore,17-04-2021 22:45,photo,technology,positive,72
252,0e2169f4-b881-42d0-b99c-034b32f83504,scared,21-04-2021 00:21,GIF,food,negative,15
253,60ca0278-5ed6-4669-939b-e6dc2021c07d,intrigued,19-07-2020 10:33,GIF,technology,positive,45
254,13a4d35c-761c-47a3-b25b-5cc5825d04f2,intrigued,06-07-2020 02:08,photo,travel,positive,45
255,062cbf2f-fc22-4357-8890-63e7f13fcd37,love,26-03-2021 05:42,audio,education,positive,65
258,45752c15-a54c-4b0d-8fe3-f39c40f6c8d9,cherish,13-09-2020 11:24,photo,Education,positive,70
259,a3e93c2d-7fb4-4881-994d-ee20ad564924,worried,28-01-2021 21:06,video,public speaking,negative,12
260,5b379d75-649b-426f-b420-4e0b6e4a0e3d,indifferent,20-01-2021 01:15,video,soccer,neutral,20
261,7fe36d94-8867-4719-9c62-60b077cf5973,super love,03-09-2020 01:15,photo,travel,positive,75
262,56df8914-9d42-434d-9612-6bb518dd641e,worried,09-01-2021 10:46,video,fitness,negative,12
263,78461336-26e2-4d0c-ab9a-fefbe419a8dd,indifferent,19-09-2020 22:29,video,dogs,neutral,20
264,25934ec0-56f1-4fe1-9bf4-d46b1dbb42ad,super love,29-05-2021 07:21,photo,veganism,positive,75
265,637f80dd-2d70-4658-ba5f-8d909b050781,worried,15-05-2021 19:04,video,studying,negative,12
